id,src,tgt
oa00000000,中国和瓦努阿图双方今天在这里就瓦努阿图总理卡洛特访华发表了新闻公报。,中国和瓦努阿图双方今天在这里就瓦努阿图总理卡洛特访华发表了新闻公报。
oa00000001,从一九八四年元月起，全厂层层开展月评十件好事活动，六年多来从未间断。,从一九八四年元月起，全厂层层开展月评十件好事活动，六年多来从未间断。
oa00000002,不能在绿茵场上像队员一样奔跑拚搏，就用其他形式为中国足球的发展推波助澜。,不能在绿茵场上像队员一样奔跑拼搏，就用其他形式为中国足球的发展推波助澜。
oa00000003,该基金总规模七亿元，其中募集走进额上限为五亿元。,该基金总规模七亿元，其中募集总金额上限为五亿元。
oa00000004,中国外交部发言人姜瑜8日在侧行记者会上宣布，国务院总理温家宝将生席5月16日至17日在上海举行的2007年非洲开发银行集团理事会年会，并发表讲话。,中国外交部发言人姜瑜8日在例行记者会上宣布，国务院总理温家宝将出席5月16日至17日在上海举行的2007年非洲开发银行集团理事会年会，并发表讲话。
oa00000005,研究人员惊讶地发现，他们所探测到的磁场比原来估计的要强得多，这就是说，磁气圈当时强到足以保护地球免遭太阳风暴的毁灭性破坏。这一研究成果对准算地球生命的历史非常有帮助。,研究人员惊讶地发现，他们所探测到的磁场比原来估计的要强得多，这就是说，磁气圈当时强到足以保护地球免遭太阳风暴的毁灭性破坏。这一研究成果对推算地球生命的历史非常有帮助。
oa00000006,项目聘请专业的调研公司进行调研，力邀著名的设计师共同打造的这一产品，广受业内外人士好评的力作，设计师深爱业主最以品质生活的追求。,项目聘请专业的调研公司进行调研，力邀著名的设计师共同打造的这一产品，广受业内外人士好评的力作，设计师深爱业主最以品质生活的追求。
oa00000007,雷亚的长篇谈话记录，题为《文化即命运》，文中，李光耀对“亚洲价值”进行了详尽的阐发。,雷亚的长篇谈话记录，题为《文化即命运》，文中，李光耀对“亚洲价值”进行了详尽的阐发。
oa00000008,统计数据显永，超过网络进行阅读的党敌干部占到百分之二十六，仅次于通过书籍阅读的28%，但是这个比例已经超过了通过报纸和杂志进行阅读的百分之二十四和百分之十九。,统计数据显示，通过网络进行阅读的党政干部占到百分之二十六，仅次于通过书籍阅读的28%，但是这个比例已经超过了通过报纸和杂志进行阅读的百分之二十四和百分之十九。
oa00000009,它不仅要求我们作业要整洁，衣着要整洁，防护也要整齐，要养成良好的学习和生活习惯。,她不仅要求我们作业要整洁，衣着要整洁，床铺也要整齐，要养成良好的学习和生活习惯。
oa00000010,然后秘密地放在早用小刀凿好的小土窑里，过几天一软，就可以吃了。炎热天的晌午，临到玩抓石头子儿，或用小树枝儿在棋盘似的方格格里摆开阵势，玩“狼吃娃”。,然后秘密地放在早用小刀凿好的小土窑里，过几天一软，就可以吃了。炎热天的晌午，临到玩抓石头子儿，或用小树枝儿在棋盘似的方格格里摆开阵势，玩“狼吃娃”。
oa00000011,层峦送峰的太行山，层层由南向北铺开，陡然又像条卧龙似的向东来了个急转弯，又掉头南行。,层峦迭嶂的太行山，层层由南向北铺开，陡然又像条卧龙似的向东来了个急转弯，又掉头南行。
oa00000012,翠绿的叶子也变成金黄色的。绿的时候它很脆，一捋就断；呈金黄色时，就又柔又韧。把它拔下来，就可以拧成指头粗的带环儿的绳子，悬挂在草棚里，每根绳可以辫蒜似的吊上百个柿子。,翠绿的叶子也变成金黄色的。绿的时候它很脆，一捋就断；呈金黄色时，就又柔又韧。把它拔下来，就可以拧成指头粗的带环儿的绳子，悬挂在草棚里，每根绳可以辫蒜似的吊上百个柿子。
oa00000013,纵有家财万贯，不如钧瓷一片”说的是天下第一瓷，禹州钧瓷。,纵有家财万贯，不如钧瓷一片”说的是天下第一瓷，禹州钧瓷。
oa00000014,这双解放初期沂蒙山区“识字班”穿的绊带布鞋，在这“群芳荟萃”的鞋的长河中，它显得是怎样的土气和不协闹啊！,这双解放初期沂蒙山区“识字班”穿的绊带布鞋，在这“群芳荟萃”的鞋的长河中，它显得是怎样的土气和不协调啊！
oa00000015,我国古代有人曾根据语句有否押韵把文学作品分为韵文与散文两个大类。,我国古代有人曾根据语句有否押韵把文学作品分为韵文与散文两个大类。
oa00000016,房地产多个热门板块的成交涨幅较前几月有所放缓，但是改善型置业入市积极性下降，拖累广州整个二手房市成交下滑。,房地产多个热门板块的成交涨幅较前几月有所放缓，但是改善型置业入市积极性下降，拖累广州整个二手房市成交下滑。
oa00000017,几年前，我终于有机会到了向往已久并且充满梦幻色彩的阿佤山考察沧源崖画。,几年前，我终于有机会到了向往已久并且充满梦幻色彩的阿佤山考察沧源崖画。
oa00000018,王英汉被枪毙后部分余孽深藏起来，几次围捕均未抓获。,王英汉被枪毙后部分余孽深藏起来，几次围捕均未抓获。
oa00000019,此榜单的目的不是告诉世人这些暴点会永远消失，而是要告诉人们它们已非住日，旅游胜地亟待保护，人们的行为需要矫正。,此榜单的目的不是告诉世人这些景点会永远消失，而是要告诉人们它们已非往日，旅游胜地亟待保护，人们的行为需要矫正。
oa00000020,这里盛产的莲藕，生食减，炒食脆，炖食粉，筒粗皮薄节长，肉嫩味鲜，营养丰富。,这里盛产的莲藕，生食甜，炒食脆，炖食粉，筒粗皮薄节长，肉嫩味鲜，营养丰富。
oa00000021,信贷专家徐瑾在报告中指出，以目前房贷市场形势来看，银行执行七折房贷概率较小，八折利率还附加诸多苛刻条件，利率九折已是较大优惠。,信贷专家徐瑾在报告中指出，以目前房贷市场形势来看，银行执行七折房贷概率较小，八折利率还附加诸多苛刻条件，利率九折已是较大优惠。
oa00000022,郭增堂已经五十开外的年纪了，又很瘦，可是他的身板，却跟钢打铁铸一般，有着使不完的力气。,郭增堂已经五十开外的年纪了，又很瘦，可是他的身板，却跟钢打铁铸一般，有着使不完的力气。
oa00000023,这次我们发现这么多新的鱼类和蛙类，真是令人兴奋。,这次我们发现这么多新的鱼类和蛙类，真是令人兴奋。
oa00000024,这时正有一缕透明的轻烟似的云从船艄掠过桅杆，船尾画着一条长长的水纹，水纹就是这只船的踪迹，但这踪迹也不会卡远的。,这时正有一缕透明的轻烟似的云从船艄掠过桅杆，船尾画着一条长长的水纹，水纹就是这只船的踪迹，但这踪迹也不会长远的。
oa00000025,少吃辛辣湿热食物，如烟、酒、浓茶、咖啡、辣椒等，丢使痤疮加重或复发，应忌食。,少吃辛辣湿热食物，如烟、酒、浓茶、咖啡、辣椒等，会使痤疮加重或复发，应忌食。
oa00000026,由人民论坛杂志社和人民网时政频道联合进行的“党政干部阅读习惯”网络调查进日公布结果。,由人民论坛杂志社和人民网时政频道联合进行的“党政干部阅读习惯”网络调查近日公布结果。
oa00000027,日本固仅否认侵略战争而且还进而宣扬侵略有理论、侵略有功论。,日本不仅否认侵略战争而且还进而宣扬侵略有理论、侵略有功论。
oa00000028,职工们爱厂爱岗爱产品心往一处想，劲儿往一处使。,职工们爱厂爱岗爱产品心往一处想，劲儿往一处使。
oa00000029,袁世凯一面随机应交，发号施会，准备举兵。,袁世凯一面随机应变，发号施令，准备举兵。
oa00000030,昔日的高家村七百口人，仅光棍汉就有二百多户，穷得连个称盐打油的情也没有。,昔日的高家村七百口人，仅光棍汉就有二百多户，穷得连个称盐打油的钱也没有。
oa00000031,由于检测早孕因子可以确诊超早孕需做人工流产的孕妇可免受手术之苦。,由于检测早孕因子可以确诊超早孕需做人工流产的孕妇可免受手术之苦。
oa00000032,有关赵高的身世，两千年来了解甚少而曲解甚多，不实的虎见一直延读到今天。,有关赵高的身世，两千年来了解甚少而曲解甚多，不实的成见一直延续到今天。
oa00000033,一个和谐的汽车社会绝不能息视儿童的交通安全。而目前的国情是，我们在驾驶员安全教育、儿童安全教育、法律法规保障力度、社会风气等方面存在的漏洞太多。,一个和谐的汽车社会绝不能忽视儿童的交通安全。而目前的国情是，我们在驾驶员安全教育、儿童安全教育、法律法规保障力度、社会风气等方面存在的漏洞太多。
oa00000034,去年八月八日，一群初中学生在该州亨德森县游玩时抓住二十二只青蛙，其中十一只后腿严重畸形。,去年八月八日，一群初中学生在该州亨德森县游玩时抓住二十二只青蛙，其中十一只后腿严重畸形。
oa00000035,1946年秋，英雄的民兵用它浮水液过汹涌澎湃的黄河，到对岸捣毁了三架板军的飞机。,1946年秋，英雄的民兵用它浮水渡过汹涌澎湃的黄河，到对岸捣毁了三架敌军的飞机。
oa00000036,各地、各部门和高等学校要严格执行报经教育部汇总备案并分送各省的招生来源计划，严禁省级招办为争取调整计划随意收宽录取政策或降底分数要求。,各地、各部门和高等学校要严格执行报经教育部汇总备案并分送各省的招生来源计划，严禁省级招办为争取调整计划随意放宽录取政策或降低分数要求。
oa00000037,这些年来，人物传记、回忆录，以及面对不周读者的史学著作和通俗历史读物，出版空前繁荣。,这些年来，人物传记、回忆录，以及面对不同读者的史学著作和通俗历史读物，出版空前繁荣。
oa00000038,工人一按开关电动螺丝刀就嗡嗡地响了起来，嗡地一声螺帽就按设计的力拧紧了。,工人一按开关电动螺丝刀就嗡嗡地响了起来，嗡地一声螺帽就按设计的力拧紧了。
oa00000039,老叔是老饲养员了，外号老抽条，牲口喂的风一吹就倒。二倔子眼珠也瞪围了，毫不示弱地盯着他老叔。,老叔是老饲养员了，外号老抽条，牲口喂的风一吹就倒。二倔子眼珠也瞪圆了，毫不示弱地盯着他老叔。
oa00000040,2006年8月，国际天文学联合会大会正式通过决设，将冥王星降级，与其他类似的一些星体统一定义为“矮行星”。,2006年8月，国际天文学联合会大会正式通过决议，将冥王星降级，与其他类似的一些星体统一定义为“矮行星”。
oa00000041,这支部落从1227年成吉思汗病逝至今，一直忠心耿耿地守护着他的坟冢，并世世代代为成吉思汗守孝。,这支部落从1227年成吉思汗病逝至今，一直忠心耿耿地守护着他的坟冢，并世世代代为成吉思汗守孝。
oa00000042,每人持两朵大黄花，飞舞似风吹花圃，静立若菊园吐香。,每人持两朵大黄花，飞舞似风吹花圃，静立若菊园吐香。
oa00000043,库房的弹药垛却越垒越高了。,库房的弹药垛却越垒越高了。
oa00000044,“詹姆斯·韦布”太空望远镜由美国诺思罗普―格鲁曼公司制造，其中包含10项新科技。它有一个红外线照相机，以及一架保持在极低温度下运行的光谱仪。太空望远镜的预计寿命为10年。,“詹姆斯·韦布”太空望远镜由美国诺思罗普―格鲁曼公司制造，其中包含10项新科技。它有一个红外线照相机，以及一架保持在极低温度下运行的光谱仪。太空望远镜的预计寿命为10年。
oa00000045,近日，我县南河电站库区鱼类大量死亡，原因是尚有保康县排放的工业废水大量流入水库。,近日，我县南河电站库区鱼类大量死亡，原因是上游保康县排放的工业废水大量流入水库。
oa00000046,新形势新任务新环境，需要推进我军现代化建设又好又快的向前发展。这是关手我军长远建设、具有时代意义的战略选体。武器装备发展是我军建设的基础，首当其冲，在复合发底中加快步伐。,新形势新任务新环境，需要推进我军现代化建设又好又快的向前发展。这是关乎我军长远建设、具有时代意义的战略选择。武器装备发展是我军建设的基础，首当其冲，在复合发展中加快步伐。
oa00000047,保监会财产保险监管部主任郭左践今年5月22日在媒体座谈会上表示，预计于9月向社会公布上年度交强险业务盈亏情况。,保监会财产保险监管部主任郭左践今年5月22日在媒体座谈会上表示，预计于9月向社会公布上年度交强险业务盈亏情况。
oa00000048,我们家有台旧音响坏了以后我妈让我修，被我越修越不成样子她就不往回要了。,我们家有台旧音响坏了以后我妈让我修，被我越修越不成样子她就不往回要了。
oa00000049,告诉大家，我们银花植棉组要在十关内拿下它！,告诉大家，我们银花植棉组要在十天内拿下它！
oa00000050,他一定以为我不记得了，我所有的表现都让他以为我不会记得，但是我偏偏忘不了。,他一定以为我不记得了，我所有的表现都让他以为我不会记得，但是我偏偏忘不了。
oa00000051,我们在这里特别对秦福荃先生的《博古与潘汉年关系的背后》一又提出质疑，文中对博古、潘汉年这两位受到人们尊敬的同志的不实描写，实在太不公平、太出恪了。,我们在这里特别对秦福荃先生的《博古与潘汉年关系的背后》一文提出质疑，文中对博古、潘汉年这两位受到人们尊敬的同志的不实描写，实在太不公平、太出格了。
oa00000052,这将是全国七折房贷利率的开端，而天津提供优惠利率的研行数量也翻了一番。,这将是全国七折房贷利率的开端，而天津提供优惠利率的银行数量也翻了一番。
oa00000053,苏州本地的庙观就很多，定慧寺，玄妙观桃花庵，还有那令历代文人牵肠挂肚的寒山寺。,苏州本地的庙观就很多，定慧寺，玄妙观桃花庵，还有那令历代文人牵肠挂肚的寒山寺。
oa00000054,警察体育五项比赛分别为跳远，铅球，游泳，射击和越野好。,警察体育五项比赛分别为跳远，铅球，游泳，射击和越野跑。
oa00000055,素云伤心的躲在墙旮旯行业内，哭过了仍装作没事一样去给婆婆送吃的。,素云伤心地躲在墙旮旯淌眼泪，哭过了仍装作没事一样去给婆婆送吃的。
oa00000056,原槐镇粮管所所长郝小伍等人捏造了吴有贪污受贿，玩忽职守等十四条罪状。,原槐镇粮管所所长郝小伍等人捏造了吴有贪污受贿，玩忽职守等十四条罪状。
oa00000057,村里的老年人端然肃然地纠正着外乡人的发音，过后还边摇头边感叹说外乡人就是笨。,村里的老年人端然肃然地纠正着外乡人的发音，过后还边摇头边感叹说外乡人就是笨。
oa00000058,帐篷安好后四周还要用绳子拴住，用雪压实，既防风吹又可防止雪浸入帐篷内。,帐篷安好后四周还要用绳子拴住，用雪压实，既防风吹又可防止雪浸入帐篷内。
oa00000059,他们精心地维护着大科，用来照明取暖、烧烤食物、吓跑野兽。,他们精心地维护着火种，用来照明取暖、烧烤食物、吓跑野兽。
oa00000060,正月初二，照老规矩是女儿偕姑爷回娘家的日子，也是老泰山最惬意的时候。,正月初二，照老规矩是女儿携姑爷回娘家的日子，也是老泰山最惬意的时候。
oa00000061,事实证明，美军正在大张旗鼓地强化网络战能力，不仅成立了网络战联合司令部，而助努力打造自己的“黑容部队”。,事实证明，美军正在大张旗鼓地强化网络战能力，不仅成立了网络战联合司令部，而且努力打造自己的“黑客部队”。
oa00000062,他们按地区把产检供应给缫丝厂，缫丝厂对皆织绸厂，织绸厂对接印染厂。,他们按地区把蚕茧供应给缫丝厂，缫丝厂对接织绸厂，织绸厂对接印染厂。
oa00000063,入市积极性明显提升的首次置业人士对单价三万元的二手房承接力不降反射。,入市积极性明显提升的首次置业人士对单价三万元的二手房承接力不降反升。
oa00000064,互联网金融称借而入，各类理财产品遍地开花，互联网金融真能救市吗？,互联网金融趁机而入，各类理财产品遍地开花，互联网金融真能救市吗？
oa00000065,但是他宁愿让自己和妻子儿女吃糠咽菜，也不让王世云老人吃苦。,但是他宁愿让自己和妻子儿女吃糠咽菜，也不让王世云老人吃苦。
oa00000066,水兵和考察队员们，冒着严寒跳进没腰深的海水里抢锤打杠，固定码头钢架，一天下来，腰酸臂疼，吃饭时手都发抖，筷子常常掉在地上。一坐土交通艇就会鼻声大作。,水兵和考察队员们，冒着严寒跳进没腰深的海水里抢锤打桩，固定码头钢架，一天下来，腰酸臂疼，吃饭时手都发抖，筷子常常掉在地上。一坐上交通艇就会鼾声大作。
oa00000067,也许牛顿知道一些我们所不了解的事，他才会认为2060年是世界末日的时刻。,也许牛顿知道一些我们所不了解的事，他才会认为2060年是世界末日的时刻。
oa00000068,绿地金服将围绕房地产全产业链投融资市场，形成可复制的多层次液污模式。,绿地金服将围绕房地产全产业链投融资市场，形成可复制的多层次业务模式。
oa00000069,老家亲戚也纷纷向他打听，不动产登记后房价会不会大跌？不动产登记完是不是就要收房产税了？,老家亲戚也纷纷向他打听，不动产登记后房价会不会大跌？不动产登记完是不是就要收房产税了？
oa00000070,政府首先需引导市场预期，稳定住房消费，为市场发挥决定性的调节作用创造环境，发挥房地产对经济增长的促进作用。,政府首先需引导市场预期，稳定住房消费，为市场发挥决定性的调节作用创造环境，发挥房地产对经济增长的促进作用。
oa00000071,著名史学家、今已85岁高龄的史式教授多年来一直从事探讨中华文化、批判皇帝制度、重写中华古史的工作。,著名史学家、今已85岁高龄的史式教授多年来一直从事探讨中华文化、批判皇帝制度、重写中华古史的工作。
oa00000072,当我病愈去医院看望您时，您这个年长者却躺在病床上紧紧拉着我的手，殷殷嘱我保重。,当我病愈去医院看望您时，您这个年长者却躺在病床上紧紧拉着我的手，殷殷嘱我保重。
oa00000073,我们因为信佛而念佛，因为念佛，而定能得到致毁，因此我们念佛的习惯是好习惯。,我们因为信佛而念佛，因为念佛，而定能得到智慧，因此我们念佛的习惯是好习惯。
oa00000074,像这种严正不奇，秉乎中道而见义勇为的君子，如今世上又能见得着几人?,像这种严正不奇，秉乎中道而见义勇为的君子，如今世上又能见得着几人?
oa00000075,近几天，关于英语考试和汉语教学的两则新闻权为引入注目。,近几天，关于英语考试和汉语教学的两则新闻极为引人注目。
oa00000076,负责这项“牛顿的秘密手稿展”的希伯来大学哲学教授班梅纳潜表示，牛顿的手稿被放在纸箱多年，到二十一世纪，有许勿人对牛顿的解释有兴趣。,负责这项“牛顿的秘密手稿展”的希伯来大学哲学教授班梅纳潜表示，牛顿的手稿被放在纸箱多年，到二十一世纪，有许多人对牛顿的解释有兴趣。
oa00000077,公元前二零六年，秦朝灭亡后项羽自立为西楚霸王，封刘邦为汉王。,公元前二零六年，秦朝灭亡后项羽自立为西楚霸王，封刘邦为汉王。
oa00000078,席间读到马英九最近的铁马行，王金平说，像铁马行这样的选战打法，非崇危险。,席间谈到马英九最近的铁马行，王金平说，像铁马行这样的选战打法，非常危险。
oa00000079,携巨款潜逃国外的重大诈骗犯吴加升六月九日被中国公安人员从新加坡押解回国。,携巨款潜逃国外的重大诈骗犯吴加升六月九日被中国公安人员从新加坡押解回国。
oa00000080,袁世凯一向支持保守派，排斥开化派，政变的消息使他颇为激励，极力主张用武力支持保守派复辟。,袁世凯一向支持保守派，排斥开化派，政变的消息使他颇为激动，极力主张用武力支持保守派复辟。
oa00000081,按节约电力计算，到二零零零年可减少二氧化硫排放二十万吨，二氧化碳排放七百四十万吨。,按节约电力计算，到二零零零年可减少二氧化硫排放二十万吨，二氧化碳排放七百四十万吨。
oa00000082,摄制组全体人员以英雄扫雷队为榜样，在雷区顽强拼搏日夜奋战。,摄制组全体人员以英雄扫雷队为榜样，在雷区顽强拼搏日夜奋战。
oa00000083,新华社沈阳一月二十三日电辽宁省沈阳市为教育募捐大型义演活动一月二十一日拉开帷幕。,新华社沈阳一月二十三日电辽宁省沈阳市为教育募捐大型义演活动一月二十一日拉开帷幕。
oa00000084,此后100多年，尽管人们多次找寻，不仅没发现活的植株，就连标本和文字也再没有新的记录。,此后100多年，尽管人们多次找寻，不仅没发现活的植株，就连标本和文字也再没有新的记录。
oa00000085,建筑业是东阳的传统优势，卢宅肃雍堂是明代民宅的典范，现为国家重点文物保护单位。,建筑业是东阳的传统优势，卢宅肃雍堂是明代民宅的典范，现为国家重点文物保护单位。
oa00000086,乌拉特后旗境内两条并列且走向相似的汉外长城，是中国目前已发现的最北部的长城。,乌拉特后旗境内两条并列且走向相似的汉外长城，是中国目前已发现的最北部的长城。
oa00000087,某些厂家为获取高额利润，仿制假冒优质品坑害消费者，影响了农民的购买欲望。,某些厂家为获取高额利润，仿制假冒优质品坑害消费者，影响了农民的购买欲望。
oa00000088,当思想颇为开放的中年村长王有双领我来到王军霞家的时候，我震了一下。,当思想颇为开放的中年村长王有双领我来到王军霞家的时候，我怔了一下。
oa00000089,蝎子一旦遇到猎物，立即用脚钱住，转用为次注射一针将猎物毒死。,蝎子一旦遇到猎物，立即用脚钳住，转用尾刺注射一针将猎物毒死。
oa00000090,中日合作研究保护莫高窟第五期合作首年度项目报告会日前在敦煌举行，在过去一年的合作中，双方首次将碳14测年、铅同位素分析等先进科技手段应用于敦煌莫高窟的石窟考古和壁画颜料分析。,中日合作研究保护莫高窟第五期合作首年度项目报告会日前在敦煌举行，在过去一年的合作中，双方首次将碳14测年、铅同位素分析等先进科技手段应用于敦煌莫高窟的石窟考古和壁画颜料分析。
oa00000091,新中国成立后，政府成立了成吉思汗随管理局，达尔扈特人有了云取，专司成吉思汗陵的供奉与祭祀。,新中国成立后，政府成立了成吉思汗陵管理局，达尔扈特人有了公职，专司成吉思汗陵的供奉与祭祀。
oa00000092,马锐看了一眼又躺下了，只留下一个光洁粉红，上为因脚气的骚扰而糜烂蜕皮的脚丫。,马锐看了一眼又躺下了，只留下一个光洁粉红，尚未因脚气的骚扰而糜烂蜕皮的脚丫。
oa00000093,温总理将出席非洲开发银行集团理事会年会开幕式。,温总理将出席非洲开发银行集团理事会年会开幕式。
oa00000094,两位打工妹浴血勇斗四歹徒的事迹在苏州传开后，各界人士和群众纷纷前往医院慰问英雄。,两位打工妹浴血勇斗四歹徒的事迹在苏州传开后，各界人士和群众纷纷前往医院慰问英雄。
oa00000095,据向巴平措介绍，西藏的自然风光私凡土人情对中外旅游者具有很大的吸引力。,据向巴平措介绍，西藏的自然风光和风土人情对中外旅游者具有很大的吸引力。
oa00000096,这一场已得到了初试临常医学的二十八位中国工程院院士、中国科学院院士的签名赞同。,这一倡议得到了从事临床医学的二十八位中国工程院院士、中国科学院院士的签名赞同。
oa00000097,青草又松又软，歪歪曲曲地追随着道路向远处延伸。,青草又松又软，歪歪曲曲地追随着道路向远处延伸。
oa00000098,村里的地后来改钟红薯。,村里的地后来改种红薯。
oa00000099,绿是阳春烟景大块文章的底色，四月的林峦更是绿得鲜活秀媚诗意昂然。,绿是阳春烟景大块文章的底色，四月的林峦更是绿得鲜活秀媚诗意盎然。
